단지코드,공원_거리 (m),기관명_거리 (m),역명_거리 (m),정류장명_거리 (m),주차장_거리 (m),공원_요소명,기관명_요소명,역명_요소명,정류장명_요소명,주차장_요소명,초등학교명,초등학교 거리,중학교명,중학교 거리,5000m 이하 병원 수
A10022504,1779,59,683,53,738,사육신공원,연세중앙내과의원,신용산,한강대교북단.LG유플러스(중),용산구 한강로2가 2-28(구),서울한강초등학교,177,용강중학교,1148,2941
A10022652,1104,509,1016,199,1127,율현공원,강남365치과의원,수서,LH수서아파트,수서역북 공영주차장(시),서울율현초등학교,573,수서중학교,1357,1851
A10022801,1202,26,110,58,437,상도근린공원,연세미래치과의원,신림,신림역2번출구,봉천복개3 공영주차장(시),서울당곡초등학교,734,신관중학교,511,2913
A10022803,227,70,213,88,536,연신내물빛공원,이선구장원철내과의원,연신내,연서시장,연신중학교지하공동주차장(구),서울연광초등학교,554,연신중학교,547,1044
A10022919,864,160,285,107,1131,중랑캠핑숲,상쾌한이비인후과의원,신내,신내교회.신내데시앙아파트,봉화산역(남) 공영주차장(시),서울양원숲초등학교,278,송곡여자중학교,488,1222
A10023020,988,55,264,137,205,봉은공원,스마일블로썸치과의원,선릉,선릉역,테헤란로64길(구),서울도성초등학교,541,진선여자중학교,458,5730
A10023070,640,54,875,121,455,아시아근린공원,잠실세브란스치과의원,종합운동장,잠실새내역4번출구,아시아공원(구),서울잠전초등학교,356,잠신중학교,728,4265
A10023118,914,158,319,204,654,효창근린공원,빙빙소리한의원,공덕,공덕역2번출구,염리 공영주차장(구),서울공덕초등학교,460,서울여자중학교,136,2948
A10023368,963,25,1518,134,76,배봉산근린공원,서울저스트치과의원,청량리,시조사삼거리(중),휘경마을 공영주차장(구),서울휘경초등학교,326,휘경중학교,332,3126
A10023372,1198,63,292,78,1616,까치산근린공원,세운한의원,서울대입구,관악구청,엔젤데이케이센터 지하주차장(구),서울청룡초등학교,251,서울문영여자중학교,655,2266
A10023395,1177,259,566,111,735,어린이대공원,한우식내과의원,군자,군자교(경유),거주자노외주차장(구),서울송원초등학교,598,장평중학교,951,2972
A10023467,694,68,286,21,1124,불광근린공원,송근한의원,불광,불광역3.6호선,역말 공영주차장(구),서울대은초등학교,146,예일여자중학교,1131,1147
A10023489,1148,173,309,292,147,중마루근린공원,한성의원,영등포구청,영등포구민회관.영등포경찰서,당산노외 공영주차장(시),서울영중초등학교,340,양화중학교,691,3266
A10023547,1054,354,684,94,636,대모산도시자연공원,더힐가정의학과의원,대청,일원초등학교,영희초교 공영주차장(구),서울일원초등학교,183,중동중학교,249,4013
A10023598,750,24,1586,228,598,고척근린공원,고척으뜸내과의원,양천구청,개봉사거리,개봉1동 노외주차장(구),서울고척초등학교,205,고척중학교,323,2247
A10023604,716,301,1305,313,412,고척근린공원,이영훈치과의원,양천구청,고척시장,고척1동마을공동주차장(구),서울고척초등학교,220,고척중학교,252,2327
A10023670,704,74,19,161,159,천호근린공원,고우넷치과교정과치과의원,천호,천호역3번출구.현대백화점,천호역 공영주차장(시),서울풍납초등학교,715,영파여자중학교,726,2606
A10023732,508,54,2043,1390,182,솔밭근린공원,몸튼튼바른의원,쌍문,방학동신동아타워,우이동 공영주차장(시),서울백운초등학교,440,서라벌중학교,199,1356
A10023734,916,40,234,78,539,연신내물빛공원,대조한의원,구산,역촌중앙시장,역말 공영주차장(구),예일초등학교,143,예일여자중학교,143,1190
A10023788,467,15,293,289,145,손기정체육공원,한독의료재단후산한의원,충정로,충정로역,중림종합복지센터 부설주차장(구_중림(제5))(시),서울봉래초등학교,430,인창중학교,663,2810
A10023798,935,66,475,95,191,효창근린공원,연세미소치과의원,숙대입구,용산경찰서,청파동1마을공원공영주차장(구),신광초등학교,170,신광여자중학교,170,2874
A10023815,1531,203,250,277,1078,봉화산근린공원,한마음한의원,먹골,먹골역,(구)북부지법주변(구),서울묵현초등학교,159,중랑중학교,726,2221
A10023816,483,193,473,112,1313,중랑캠핑숲,참좋은의원,신내,양원리,우림시장공영주차장(구),서울양원숲초등학교,124,송곡여자중학교,232,1118
A10023855,1460,558,749,84,1726,동명근린공원,상일에이치(H)내과의원,강일,강동리엔파크13.14단지,강일동 주차장(구),한홀초등학교,602,강명중학교,647,750
A10023914,734,3,309,80,678,초안산생태공원,건운재정형외과의원,쌍문,우이1교앞(중),가오천 노상공영(구),서울숭미초등학교,707,신도봉중학교,418,2084
