기관명,병원경도,병원위도,주소,대표전화,진료시간(월요일)S,진료시간(월요일)C
가산기대찬의원,126.8841224970078,37.4803938036867,"서울특별시 금천구 벚꽃로 286, 삼성리더스타워 111~114호 (가산동)",02-6267-2580,900,1930
365엠씨의원,127.0218085089,37.5166041956,"서울특별시 강남구 도산대로 118 (논현동, 신사빌딩 2층)",02-516-3650,1100,2000
(의)가산의료재단광동병원,127.062146778337,37.5142810376461,서울특별시 강남구 봉은사로 612 (삼성동),02-2222-4888,900,1800
000의원,127.022491634375,37.5076445712488,"서울특별시 서초구 강남대로 509, 하늘안과 B동 7층 (반포동)",02-6241-0001,1000,2000
가로수치과의원,126.9293767300304,37.48191798611885,"서울특별시 관악구 신원로 38, 5층 (신림동, 청암빌딩)",02-882-2750,1000,1900
(의)가산의료재단광동한방병원,127.062146778337,37.5142810376461,서울특별시 강남구 봉은사로 612 (삼성동),02-2222-4888,900,1800
경희남촌한의원,126.843494308118,37.542512790831,서울특별시 강서구 까치산로 29 (화곡동),02-2605-8301,930,1830
가좌경희한의원,126.9127073134,37.5708141022,"서울특별시 서대문구 수색로 56, 129~130호 (북가좌동, 성공타워1)",02-308-7582,930,2000
(의)미래의료재단리드림의원,127.058887185824,37.5080031582356,"서울특별시 강남구 테헤란로 513 (삼성동, B1일부,4,9,10층,테헤란로81길10,B1일부,삼성로92길29,3,4)",02-540-0001,730,1600
10월10일한의원,127.040001794114,37.4763877807578,"서울특별시 서초구 양재천로 99-2, 유림빌딩 2층 (양재동)",02-572-1075,1000,1800
365반반한의원,126.965334142218,37.5660946603738,"서울특별시 서대문구 통일로9안길 28, 2,3층 (충정로2가)",02-2138-2407,930,2030
(의)성광의료재단차움건진의원,127.05820568843,37.5077804973225,"서울특별시 강남구 테헤란로 509, 지하2층,지하1층일부,2층 (삼성동)",02-1800-7750,730,1630
경희정재현한의원,127.03945910421,37.4868646241789,"서울특별시 강남구 남부순환로365길 22, 3층 (도곡동)",02-575-8875,930,2000
21세기한의원,126.980011086024,37.5609891377777,"서울특별시 중구 남대문시장길 73-3, 7층 (회현동1가)",02-776-8294,1000,1800
경희백두한의원,126.8545572403663,37.56086385048082,"서울특별시 강서구 양천로 492, 2층 202호 (등촌동, 길훈엔트런스빌)",02-2659-1075,900,1900
97.7비엔에치의원,127.01081601251772,37.53218945103117,"서울특별시 용산구 유엔빌리지길 72, 지하1,지상1,2층 (한남동)",02-3438-0510,930,1830
(의)열린의료재단영등포열린의원,126.90604309721,37.5165301858178,"서울특별시 영등포구 경인로 841, 영등포우체국 4,5층 (영등포동4가)",02-2676-0832,930,1800
10년전당신의오늘의원,127.045733608353,37.5236304940728,"서울특별시 강남구 도산대로 452, JS빌딩 3층 (청담동)",02-541-0333,1000,1900
강북권의료복지사회적협동조합명성의원,127.043686692857,37.6723293932498,"서울특별시 도봉구 도봉로 759, 2, 3층 (도봉동)",02-2091-1500,1000,1600
경희장원한의원,127.026694816905,37.5244875087715,"서울특별시 강남구 논현로167길 17, 4층 (신사동)",02-549-0580,930,1900
S앤비한의원,127.1138783477,37.5040597913,"서울특별시 송파구 가락로 169 (송파동,2층)",02-3432-7585,1000,1800
경희한의원,127.02945322795,37.6131435556689,서울특별시 강북구 도봉로 45 (미아동),02-989-1075,930,1830
가우디치과병원,127.0610611946,37.5078254575,"서울특별시 강남구 테헤란로 520, 4층 (대치동, 삼안빌딩)",1566-7426,940,1730
24시열린의원,126.871566699077,37.5274862615567,"서울특별시 양천구 목동동로 233-1, 109호 (목동, 현대드림타워)",02-2644-2475,900,2400
(의)열린의료재단예인의원,126.842911175186,37.5672306850318,"서울특별시 강서구 양천로 366, 5,6층 (가양동, 미라클빌딩)",02-3661-7582,900,1800
365아산원탑마취통증의학과재활의학과의원,127.096047927433,37.540609659197,"서울특별시 광진구 광나루로 620, 이진빌딩 1층 &#40;구의동&#41;",02-455-7575,900,2000
21성형외과의원,127.025278490231,37.5017358451233,"서울특별시 서초구 강남대로 441, 서산빌딩 10층 (서초동)",02-596-2121,1000,1900
가산의원,126.8815830343,37.4819121882,"서울특별시 금천구 가산디지털1로 186, 4층 403호 (가산동, 제이플라츠)",02-862-2411,900,2000
365MC의원,127.061324512782,37.6530537904638,"서울특별시 노원구 동일로 1392, 5,6층 (상계동)",02-974-3653,1100,2000
경희부부한의원,127.140227539906,37.5376937056369,"서울특별시 강동구 양재대로 1478, 4층 (길동)",02-2057-1201,930,1830
365공릉차한의원,127.072245353338,37.6279664534118,"서울특별시 노원구 동일로 1098, 지하1층, 지상3층 (공릉동)",02-6436-7575,900,1900
365필요한의원,127.074871189969,37.5933277359226,"서울특별시 중랑구 망우로 198, 2층 (상봉동)",02-2135-5875,900,2100
강남유닉플란트치과의원,126.97904783905594,37.56083625181834,"서울특별시 강남구 봉은사로 111, 801호 (논현동)",02-540-2087,1000,1900
365더튼튼의원,126.8423261269,37.4956264999,"서울특별시 구로구 경인로 191, 2,3층 (오류동)",02-2060-9111,1000,2200
강남청아한의원,127.06104083245444,37.493928353682165,"서울특별시 강남구 남부순환로 2933, 203호 (대치동, 대치상가 )",02-552-9870,1000,1800
365다시재한방병원,127.142262855079,37.4866427532962,"서울특별시 송파구 위례서로 248, 3층 일부, 4층 (거여동)",02-512-0750,900,2000
1밀리미터성형외과의원,127.02594810924924,37.5023891093389,"서울특별시 강남구 강남대로 446, 한웰빌딩 3층 (역삼동)",02-552-1171,1000,1900
