면허번호,업종명,사업자구분,업체명,주사무소 우편번호,주사무소 주소,주사무소 상세주소,팩스번호,관할관청,면허상태
170194,화물주선업,개인,전국마린화물&이사,08216,서울특별시 구로구 구로중앙로 207,"529호(구로동, 구로동복합건물 오퍼스1)",,구로구,정상
70164,화물주선업,법인,주식회사 카인드맨,02034,서울특별시 중랑구 공릉로2길 7,5층 2호 (묵동),,중랑구,정상
240352,화물주선업,개인,예건물류,07562,서울특별시 강서구 공항대로 535,"10층1호(염창동,소은빌딩) (염창동)",,강서구,정상
180220,화물주선업,법인,(주)손매니지먼트서비스,08506,서울특별시 금천구 가산디지털2로 108,312호 (가산동),,금천구,정상
220908,화물주선업,법인,(주)상생,06752,서울특별시 서초구 바우뫼로27길 7-7,201호 (양재동),,서초구,정상
170191,화물주선업,법인,신아운수(주),08389,서울특별시 구로구 디지털로30길 28,"1011호 (구로동, 마리오타워)",,구로구,정상
170192,화물주선업,법인,신흥통운(주),08389,서울특별시 구로구 디지털로30길 28,"1011호 (구로동, 마리오타워)",,구로구,정상
240350,화물주선업,개인,강동퀵특송,05403,서울특별시 강동구 양재대로91길 72,1층 (성내동),,강동구,정상
120110,화물주선업,개인,태양물류,03386,서울특별시 은평구 통일로73길 22-1,2층 (대조동),,은평구,정상
170190,화물주선업,법인,(주)엠제이넷,08382,서울특별시 구로구 디지털로 243,"610호 (구로동, 지 하이시티)",,구로구,정상
230473,화물주선업,개인,나르미물류,06222,서울특별시 강남구 언주로79길 14-5,5층 (역삼동),,강남구,정상
240354,화물주선업,법인,(주)신한해운항공,05545,서울특별시 송파구 백제고분로 509,9층 2호 (방이동),,송파구,정상
180219,화물주선업,개인,퀵과화물,08565,서울특별시 금천구 독산로36길 73-8,1층 (시흥동),,금천구,정상
190319,화물주선업,개인,씨티로지스,07247,서울특별시 영등포구 국회대로54길 15-7,206호 (영등포동7가),,영등포구,정상
180222,화물주선업,개인,지원,08639,서울특별시 금천구 시흥대로 97,26동 241호 (시흥동),,금천구,정상
020136,화물주선업,법인,주식회사아비드이앤에프,04567,서울특별시 중구 마장로 3,"7층 191-194 (신당동,맥스타일)",,중구,정상
140172,화물주선업,법인,주식회사 에코엑스랩,04033,서울특별시 마포구 잔다리로 58,서경빌딩 5층 502호 (서교동),,마포구,정상
180225,화물주선업,법인,(주)호,08591,서울특별시 금천구 가산디지털1로 58,503호 (가산동),,금천구,정상
230477,화물주선업,법인,(주)더필라,06349,서울특별시 강남구 밤고개로1길 10,1630호 (수서동),,강남구,정상
140171,화물주선업,법인,주식회사 디버,04213,서울특별시 마포구 마포대로 122,17층 (공덕동),,마포구,정상
