학교명,위도,경도,설립형태,소재지도로명주소
미성중학교,37.47538281,126.9120889,공립,서울특별시 관악구 문성로16길 40
송내중앙중학교,37.88842057,127.0526199,공립,경기도 동두천시 중앙로 78
청목초등학교,37.195771,127.1174309,공립,경기도 화성시 동탄순환대로21길 10
장충중학교,37.5535149,127.006415,사립,서울특별시 중구 동호로15길 93
범박고등학교,37.46768281,126.811738,공립,경기도 부천시 소사구 범박로 27-1
화성청계초등학교,37.199192,127.1021055,공립,경기도 화성시 동탄대로시범길 39
선정국제관광고등학교,37.61870451,126.9090316,사립,서울특별시 은평구 서오릉로20길 19
화성반월고등학교,37.224712,127.0550943,공립,경기도 화성시 효행로 1281-66
영훈초등학교,37.61468187,127.0280933,사립,서울특별시 강북구 도봉로13가길 19
동안초등학교,37.389519,126.9649077,공립,경기도 안양시 동안구 관평로138번길 36
대왕중학교,37.48346033,127.0873381,공립,서울특별시 강남구 광평로20길 7
서울휘봉초등학교,37.58567641,127.0700416,공립,서울특별시 동대문구 장안벚꽃로 309
의왕부곡초등학교,37.31630748,126.9494753,공립,경기도 의왕시 철도박물관로 143
계남고등학교,37.49619693,126.7726105,공립,경기도 부천시 원미구 부흥로 261
김포외국어고등학교,37.7012131,126.567517,사립,경기도 김포시 월곶면 김포대로 2537
판교대장초등학교,37.368259,127.0697175,공립,경기도 성남시 분당구 판교대장로5길 71
백성초등학교,37.00547351,127.251975,공립,경기도 안성시 아양3로 41
서울신봉초등학교,37.48557635,126.9493909,공립,서울특별시 관악구 양녕로6나길 1
마송중앙초등학교,37.68935513,126.5936743,공립,경기도 김포시 통진읍 마송1로 140
하랑초등학교,37.65003598,127.2552349,공립,경기도 남양주시 백봉로 92
남양주월산초등학교,37.65400023,127.340419,공립,경기도 남양주시 화도읍 경춘로2290번길 50
서울중동초등학교,37.56641061,126.9117752,공립,서울특별시 마포구 월드컵북로 152
연하초등학교,37.80326029,127.342505,공립,경기도 가평군 상면 비룡로 2199-19
위례중학교,37.477211,127.1483118,공립,경기도 하남시 위례순환로 343
안산창촌초등학교,37.30585501,126.9046926,공립,경기도 안산시 상록구 건건5길 10
서울휘경초등학교,37.585736,127.0582142,공립,서울특별시 동대문구 망우로6길 48
이포초등학교하호분교장,37.40585877,127.5012612,공립,경기도 여주시 금사면 금품1로 695
청심국제고등학교,37.6870224,127.5405562,사립,경기도 가평군 설악면 미사리로 324-213
양동중학교,37.54836875,126.8687172,공립,서울특별시 양천구 목동중앙북로 49
서울망원초등학교,37.56088948,126.9007631,공립,서울특별시 마포구 방울내로5길 28
서울의료보건고등학교,37.55729809,126.966773,사립,서울특별시 중구 만리재로37길 30
서울대명초등학교,37.54766615,127.1532701,공립,서울특별시 강동구 상암로 271
한내초등학교,37.29041031,127.4615027,공립,경기도 이천시 갈산로 71
수동초등학교송천분교장,37.69512457,127.334259,공립,경기도 남양주시 수동면 비룡로586번길 98
서울역촌초등학교,37.60158417,126.913928,공립,서울특별시 은평구 은평로3길 25
하성고등학교,37.71800637,126.628412,공립,경기도 김포시 하성면 애기봉로806번길 30
서울오정초등학교,37.49016566,126.8264392,공립,서울특별시 구로구 경인로2길 10
대신중학교,37.36353482,127.6081153,사립,경기도 여주시 대신면 여양로 1196
대림중학교,37.49231887,126.9074673,공립,서울특별시 영등포구 시흥대로185길 6
한서고등학교,37.5747927,126.8081439,사립,서울특별시 강서구 양천로11길 47
