정류장명,위도,경도
도봉구민회관.도봉문화원(중),37.65445,127.0380667
도봉구민회관.도봉문화원(중),37.6541167,127.0380333
쌍문역(중),37.6488333,127.03475
쌍문역(중),37.6481333,127.0345
우이1교앞(중),37.64515,127.03255
우이1교앞(중),37.6446667,127.0324
신도봉시장.도봉구청.방학역북부(중),37.67,127.0436
신도봉시장.도봉구청.방학역북부(중),37.6695167,127.0437167
서울북부지방법원.검찰청.성우아파트,37.6761667,127.04835
서울북부지방법원.검찰청.성우아파트,37.676,127.0479167
도봉구청,37.6689833,127.04635
도봉구청,37.66895,127.0460333
방학1동대상타운현대삼성아파트,37.6657167,127.0464333
창동쌍용.성원아파트,37.6603833,127.0495167
창동쌍용아파트,37.6605333,127.0486833
자운고등학교앞,37.6589667,127.0500167
자운고등학교앞,37.6587167,127.0496667
창동동아청솔아파트,37.6564667,127.04985
창동동아청솔아파트,37.6567,127.0495667
창동농협물류센터,37.6551167,127.05025
도봉역,37.68035,127.0465333
도봉역,37.6803833,127.0471
노원교,37.6794667,127.049
노원교,37.6796667,127.0491
성대야구장노원교앞,37.6791,127.04935
천주교도봉동교회,37.6713333,127.0427
오봉초등학교,37.6707333,127.03925
방학2동공영주차장,37.66955,127.03655
방학2동주민센터,37.6682667,127.0346167
방학동신우빌라,37.6641167,127.0349333
방학동신동아타워,37.6617167,127.0281
방학동신동아아파트,37.6620167,127.0313667
국민은행방학지점,37.6623667,127.0343167
신한은행방학동지점,37.6626667,127.03705
창동역동측(도봉방면),37.6537667,127.0496167
창동아이파크,37.6615333,127.0468333
서원아파트,37.6717167,127.0466667
서울문화고등학교,37.6636667,127.0467
온누리교회,37.6674167,127.0404
거성학마을아파트,37.6662833,127.0379333
방학동도깨비시장입구,37.6651833,127.0363
방학중학교,37.66685,127.03255
창동농협물류센터,37.65485,127.0500667
도봉산역광역환승센터,37.6898,127.0445833
도봉산역광역환승센터,37.6899833,127.0443333
한신아파트정문,37.6864833,127.0501167
서울북부지방법원,37.6770167,127.0486
서울문화고등학교,37.6639667,127.0464
대상타운현대아파트,37.6658,127.0460833
삼환.동아에코빌아파트,37.6805833,127.0475667
극동유원아파트후문,37.6820333,127.0506667
도봉중학교.서원아파트,37.6705667,127.0462167
도봉파크빌2단지앞,37.6841667,127.0512333
누원고등학교.한신아파트정문,37.6857,127.05065
도봉파크빌3단지,37.6879667,127.0491333
도봉산역,37.6893833,127.0465833
도봉파크빌3단지,37.6880167,127.0494333
한신아파트정문,37.6864833,127.0504167
누원고등학교.한신아파트정문,37.6858167,127.0509167
도봉파크빌2단지,37.68425,127.0515667
한신아파트후문,37.6838667,127.0494833
유원극동아파트,37.6827333,127.0488833
대우.삼성서비스센터,37.6832833,127.0465667
도봉역,37.6810167,127.0457667
서울북부지방법원,37.6777,127.04925
서울북부지방검찰청.한양수자인아파트,37.6747167,127.0473667
방학삼성래미안1단지아파트,37.6674167,127.0462667
삼환아파트후문,37.68025,127.04955
창동아이파크,37.6612667,127.0478333
