기관명,병원경도,병원위도,주소,대표전화,진료시간(월요일)S,진료시간(월요일)C
가산기대찬의원,126.8841225,37.4803938,"서울특별시 금천구 벚꽃로 286, 삼성리더스타워 111~114호 (가산동)",02-6267-2580,900,1930
365엠씨의원,127.0218085,37.5166042,"서울특별시 강남구 도산대로 118 (논현동, 신사빌딩 2층)",02-516-3650,1100,2000
(의)가산의료재단광동병원,127.0621468,37.51428104,서울특별시 강남구 봉은사로 612 (삼성동),02-2222-4888,900,1800
000의원,127.0224916,37.50764457,"서울특별시 서초구 강남대로 509, 하늘안과 B동 7층 (반포동)",02-6241-0001,1000,2000
가로수치과의원,126.9293767,37.48191799,"서울특별시 관악구 신원로 38, 5층 (신림동, 청암빌딩)",02-882-2750,1000,1900
(의)가산의료재단광동한방병원,127.0621468,37.51428104,서울특별시 강남구 봉은사로 612 (삼성동),02-2222-4888,900,1800
(의)미래의료재단리드림의원,127.0588872,37.50800316,"서울특별시 강남구 테헤란로 513 (삼성동, B1일부,4,9,10층,테헤란로81길10,B1일부,삼성로92길29,3,4)",02-540-0001,730,1600
(의)성광의료재단차움건진의원,127.0582057,37.5077805,"서울특별시 강남구 테헤란로 509, 지하2층,지하1층일부,2층 (삼성동)",02-1800-7750,730,1630
97.7비엔에치의원,127.010816,37.53218945,"서울특별시 용산구 유엔빌리지길 72, 지하1,지상1,2층 (한남동)",02-3438-0510,930,1830
(의)열린의료재단영등포열린의원,126.9060431,37.51653019,"서울특별시 영등포구 경인로 841, 영등포우체국 4,5층 (영등포동4가)",02-2676-0832,930,1800
10년전당신의오늘의원,127.0457336,37.52363049,"서울특별시 강남구 도산대로 452, JS빌딩 3층 (청담동)",02-541-0333,1000,1900
강북권의료복지사회적협동조합명성의원,127.0436867,37.67232939,"서울특별시 도봉구 도봉로 759, 2, 3층 (도봉동)",02-2091-1500,1000,1600
가우디치과병원,127.0610612,37.50782546,"서울특별시 강남구 테헤란로 520, 4층 (대치동, 삼안빌딩)",1566-7426,940,1730
24시열린의원,126.8715667,37.52748626,"서울특별시 양천구 목동동로 233-1, 109호 (목동, 현대드림타워)",02-2644-2475,900,2400
(의)열린의료재단예인의원,126.8429112,37.56723069,"서울특별시 강서구 양천로 366, 5,6층 (가양동, 미라클빌딩)",02-3661-7582,900,1800
365아산원탑마취통증의학과재활의학과의원,127.0960479,37.54060966,"서울특별시 광진구 광나루로 620, 이진빌딩 1층 &#40;구의동&#41;",02-455-7575,900,2000
가산의원,126.881583,37.48191219,"서울특별시 금천구 가산디지털1로 186, 4층 403호 (가산동, 제이플라츠)",02-862-2411,900,2000
365MC의원,127.0613245,37.65305379,"서울특별시 노원구 동일로 1392, 5,6층 (상계동)",02-974-3653,1100,2000
강남유닉플란트치과의원,126.9790478,37.56083625,"서울특별시 강남구 봉은사로 111, 801호 (논현동)",02-540-2087,1000,1900
365더튼튼의원,126.8423261,37.4956265,"서울특별시 구로구 경인로 191, 2,3층 (오류동)",02-2060-9111,1000,2200
365다시재한방병원,127.1422629,37.48664275,"서울특별시 송파구 위례서로 248, 3층 일부, 4층 (거여동)",02-512-0750,900,2000
365매일한방병원,127.0243444,37.57534839,"서울특별시 동대문구 천호대로 3, 지하1,지상1~2층 (신설동)",02-929-0365,900,2030
강남그랜드치과의원,127.0235193,37.50378798,"서울특별시 서초구 사평대로 368, 중앙빌딩 5층 (서초동)",02-6348-2888,1000,1900
365열린치과의원,126.9107483,37.50705834,"서울특별시 영등포구 신길로 167, 301호 (신길동)",02-853-7528,930,1800
골든라인의원,127.0297183,37.52699346,"서울특별시 강남구 논현로176길 14, 2층 일부 (신사동)",02-542-7009,1000,1900
365메트로의원,127.0216579,37.51119883,"서울특별시 강남구 학동로 지하102, 논현역 212호 (논현동)",02-3487-8777,800,1930
(의)열린의료재단오경식의원,126.8918526,37.49772931,"서울특별시 구로구 가마산로27길 14, 신원빌딩 2층 (구로동)",02-861-4658,900,1700
강남하이텍의원,127.1249139,37.47966838,"서울특별시 송파구 송파대로 111, 205동 412,415호 (문정동, 파크하비오)",02-403-7788,900,1800
CBK최영균치과의원,127.0753261,37.62195341,"서울특별시 노원구 동일로180길 14, 공릉쇼핑센타 3층 (공릉동)",02-978-1506,930,1830
고려MS영상의학과의원,126.8888073,37.49586031,"서울특별시 구로구 구로중앙로 68, 4층409,410호 (구로동,신인타워)",02-830-2564,900,1800
고려M영상의학과의원,127.0235573,37.57500527,"서울특별시 동대문구 천호대로 2, 이지빌딩 5층 (신설동)",02-2234-2226,900,1800
2080치과의원,127.10605,37.50533056,"서울특별시 송파구 백제고분로 365, 지하1층 105호 (석촌동, 태문빌딩)",02-417-0275,930,1830
호산소아청소년과의원,126.9312027,37.52256162,"서울특별시 영등포구 국제금융로7길 3, 210호 (여의도동)",02-783-7004,1000,1700
365문정사랑의원,127.1272443,37.48698109,"서울특별시 송파구 송이로32길 37, 1층 (문정동, 문정푸르지오아파트)",02-431-1339,900,2030
골드치과의원,127.0821659,37.535735,서울특별시 광진구 자양로15길 26 2층 (자양동),02-444-2878,930,1830
