학교명,위도,경도,설립형태,소재지도로명주소
범박고등학교,37.46768281,126.811738,공립,경기도 부천시 소사구 범박로 27-1
선정국제관광고등학교,37.61870451,126.9090316,사립,서울특별시 은평구 서오릉로20길 19
화성반월고등학교,37.224712,127.0550943,공립,경기도 화성시 효행로 1281-66
계남고등학교,37.49619693,126.7726105,공립,경기도 부천시 원미구 부흥로 261
김포외국어고등학교,37.7012131,126.567517,사립,경기도 김포시 월곶면 김포대로 2537
청심국제고등학교,37.6870224,127.5405562,사립,경기도 가평군 설악면 미사리로 324-213
서울의료보건고등학교,37.55729809,126.966773,사립,서울특별시 중구 만리재로37길 30
하성고등학교,37.71800637,126.628412,공립,경기도 김포시 하성면 애기봉로806번길 30
한서고등학교,37.5747927,126.8081439,사립,서울특별시 강서구 양천로11길 47
안양공업고등학교,37.39956392,126.914329,공립,경기도 안양시 만안구 양화로28번길 69
명지고등학교,37.58491135,126.9270902,사립,서울특별시 서대문구 명지2길 56
덕정고등학교,37.83754226,127.071727,공립,경기도 양주시 화합로 1488
상일미디어고등학교,37.54858748,127.1708235,사립,서울특별시 강동구 천호대로219길 61
숙명여자고등학교,37.49147536,127.0526126,사립,서울특별시 강남구 남부순환로 2807
명덕고등학교,37.553907,126.8342915,사립,서울특별시 강서구 강서로47길 34-10
선일빅데이터고등학교,37.620337,126.9119931,사립,서울특별시 은평구 갈현로29길 27
계성고등학교,37.6074936,127.0201836,사립,서울특별시 성북구 길음로 63
신진과학기술고등학교,37.59871385,126.9188364,사립,서울특별시 은평구 은평로6길 16
동두천중앙고등학교,37.89165104,127.0581024,공립,경기도 동두천시 평화로 2280
이화여자대학교병설미디어고등학교,37.6031324,127.1053324,사립,서울특별시 중랑구 망우로73길 56
서울금융고등학교,37.5376165,126.8256209,공립,서울특별시 양천구 가로공원로61길 19
세현고등학교,37.56043066,126.8636211,공립,서울특별시 강서구 허준로 227
경기예술고등학교,37.50575359,126.761362,공립,경기도 부천시 원미구 석천로209번길 37
성덕고등학교,37.54996367,127.1419039,사립,서울특별시 강동구 구천면로 396
광양고등학교,37.52937892,127.0851823,공립,서울특별시 광진구 자양로3가길 31
동탄중앙고등학교,37.20125793,127.110424,공립,경기도 화성시 동탄대로시범길 167
율면고등학교,37.08769127,127.5425144,공립,경기도 이천시 율면 고당로 48
군자디지털과학고등학교,37.35053779,126.7860428,공립,경기도 시흥시 군자로487번길 54
대일관광고등학교,37.51141377,126.8349067,사립,서울특별시 양천구 신정이펜1로 11
둔촌고등학교,37.53143258,127.1438087,공립,서울특별시 강동구 명일로 140
광문고등학교,37.56046181,127.1585463,사립,서울특별시 강동구 동남로 968
성수고등학교,37.54734181,127.0382534,공립,서울특별시 성동구 서울숲길 18
일동고등학교,37.96063289,127.3144197,공립,경기도 포천시 일동면 화동로1079번길 28
향동고등학교,37.59643105,126.893446,공립,경기도 고양시 덕양구 향기3로 6
부흥고등학교,37.39330664,126.9446222,공립,경기도 안양시 동안구 달안로 15
용인삼계고등학교,37.29465951,127.2406099,공립,경기도 용인시 처인구 포곡읍 백옥대로1898번길 34-42
노원고등학교,37.66180319,127.0540195,공립,서울특별시 노원구 노원로 586
용산철도고등학교,37.524303,126.9673581,공립,서울특별시 용산구 서빙고로 24
이현고등학교,37.28562125,127.457756,공립,경기도 이천시 증신로 88
부천공업고등학교,37.48141243,126.7667974,공립,경기도 부천시 소사구 경인로120번길 82
풍문고등학교,37.47133617,127.0999634,사립,서울특별시 강남구 자곡로 152
금호고등학교,37.5536215,127.0234338,공립,서울특별시 성동구 금호로 118
서울도시과학기술고등학교,37.607309,127.0337159,공립,서울특별시 성북구 하월곡동 종암로 196
염광고등학교,37.63028445,127.0492646,사립,서울특별시 노원구 월계로45가길 9
통진고등학교,37.68585311,126.6021476,사립,경기도 김포시 통진읍 김포대로 2165
이천제일고등학교,37.27825888,127.4613952,공립,경기도 이천시 애련정로 26
안법고등학교,37.01333556,127.273268,사립,경기도 안성시 명륜길 66
한백고등학교,37.20763155,127.1133605,공립,경기도 화성시 동탄순환대로26길 21
경기국제통상고등학교,37.50046935,126.7608615,공립,경기도 부천시 원미구 석천로 141
효양고등학교,37.26529772,127.4796168,공립,경기도 이천시 부발읍 대산로545번길 55
김포제일고등학교,37.65315497,126.677731,공립,경기도 김포시 김포한강11로 242
동국대학교사범대학부속여자고등학교,37.54192936,127.086973,사립,서울특별시 광진구 광나루로36길 47
이천양정여자고등학교,37.2846442,127.436821,사립,경기도 이천시 영창로 119
상일여자고등학교,37.54858748,127.1708235,사립,서울특별시 강동구 천호대로219길 61
다산고등학교,37.29104059,127.4288967,사립,경기도 이천시 경충대로 2856
한봄고등학교,37.25945904,126.9693453,사립,경기도 수원시 권선구 호매실로 46-93
상계고등학교,37.65272468,127.0554534,공립,서울특별시 노원구 노해로 432
상일고등학교,37.49818386,126.7437111,공립,경기도 부천시 원미구 부흥로 13
한영고등학교,37.549132,127.1577731,사립,서울특별시 강동구 동남로 832
