공원명,위도,경도,이미지,지역,공원주소
남산공원,37.5501402,126.9903773,http://parks.seoul.go.kr/file/info/view.do?fIdx=1884,중구,서울특별시 중구 삼일대로 231(예장동)
길동생태공원,37.5403935,127.1547791,http://parks.seoul.go.kr/file/info/view.do?fIdx=1885,강동구,서울특별시 강동구 천호대로 1291(길동생태공원) 
서울대공원,37.4264494,127.0198465,http://parks.seoul.go.kr/file/info/view.do?fIdx=1886,과천시,경기도 과천시 대공원광장로 102
서울숲,37.5430717,127.0417982,http://parks.seoul.go.kr/file/info/view.do?fIdx=1887,성동구,서울특별시 성동구 뚝섬로 273 (성수동1가) 
월드컵공원,37.571805,126.878907,http://parks.seoul.go.kr/file/info/view.do?fIdx=1888,마포구,서울특별시 마포구 하늘공원로 84(월드컵공원)
광화문시민열린마당,37.5750449,126.9780227,http://parks.seoul.go.kr/file/info/view.do?fIdx=1890,종로구,서울특별시 종로구 세종로 76-2
진관근린공원(구파발폭포),37.6370244,126.9192155,http://parks.seoul.go.kr/file/info/view.do?fIdx=1891,은평구,서울특별시 은평구 진관동 393
중마루근린공원,37.519832,126.9112668,http://parks.seoul.go.kr/file/info/view.do?fIdx=1893,영등포구,서울특별시 영등포구 영등포동2가 222
응봉공원(대현산배수지공원),37.5572281,127.0217653,http://parks.seoul.go.kr/file/info/view.do?fIdx=1894,성동구,서울특별시 성동구 금호동1가 산1-72
매화근린공원,37.5575833,126.86115,http://parks.seoul.go.kr/file/info/view.do?fIdx=1895,강서구,서울특별시 강서구 등촌동 630-14
성수근린공원,37.5448144,127.0524023,http://parks.seoul.go.kr/file/info/view.do?fIdx=1896,성동구,서울특별시 성동구 성수2가 3동 302-25
샛마을근린공원,37.5504807,127.1471618,http://parks.seoul.go.kr/file/info/view.do?fIdx=1897,강동구,서울특별시 강동구 명일1동 288
여의도근린공원,37.526129,126.922377,http://parks.seoul.go.kr/file/info/view.do?fIdx=1898,영등포구,서울특별시 영등포구 여의공원로 68 (여의도동)
간데메근린공원,37.5732438,127.0488644,http://parks.seoul.go.kr/file/info/view.do?fIdx=1899,동대문구,서울특별시 동대문구 서울시립대로2길 59(간데메공원)
훈련원근린공원,37.5675245,127.0038188,https://parks.seoul.go.kr/file/info/view.do?fIdx=229887,중구,서울특별시 중구 을지로 227
영등포근린공원,37.515423,126.910662,http://parks.seoul.go.kr/file/info/view.do?fIdx=1901,영등포구,서울특별시 영등포구 신길로 275
보라매근린공원,37.492333,126.918289,http://parks.seoul.go.kr/file/info/view.do?fIdx=1902,동작구,서울특별시 동작구 여의대방로20길 33(보라매공원)
어린이대공원,37.5498987,127.0809212,http://parks.seoul.go.kr/file/info/view.do?fIdx=1903,광진구,서울특별시 광진구 능동로 216(서울어린이대공원)
천호근린공원,37.5444741,127.1263451,http://parks.seoul.go.kr/file/info/view.do?fIdx=1904,강동구,서울특별시 강동구 올림픽로 702(천호공원)
용산가족공원,37.522226,126.983335,http://parks.seoul.go.kr/file/info/view.do?fIdx=1905,용산구,서울특별시 용산구 서빙고로 185
독립근린공원,37.5738289,126.956771,http://parks.seoul.go.kr/file/info/view.do?fIdx=1907,서대문구,서울특별시 서대문구 통일로251(독립공원)
낙산근린공원,37.580477,127.007587,http://parks.seoul.go.kr/file/info/view.do?fIdx=1908,종로구,서울특별시 종로구 낙산길 41 (우) 03085
매헌시민의숲,37.471225,127.035042,http://parks.seoul.go.kr/file/info/view.do?fIdx=1909,서초구,서울특별시 서초구 매헌로 99 (양재동)
관악산공원,37.445208,126.96413,http://parks.seoul.go.kr/file/info/view.do?fIdx=1910,관악구,서울특별시 관악구 관악로 1(관악산공원)
효창근린공원,37.545234,126.95993,http://parks.seoul.go.kr/file/info/view.do?fIdx=1912,용산구,서울특별시 용산구 효창원로 177-18
감로천생태공원(관악산),37.469625,126.9079509,http://parks.seoul.go.kr/file/info/view.do?fIdx=1913,금천구,서울특별시 금천구 독산4동 371?375 373일대
개운산근린공원,37.5965837,127.0252858,http://parks.seoul.go.kr/file/info/view.do?fIdx=1914,성북구,서울특별시 성북구 북악산로 949-73(돈암동 6-1)
개웅산근린공원,37.4888943,126.8485734,http://parks.seoul.go.kr/file/info/view.do?fIdx=1915,구로구,서울특별시 구로구 오류동 산13-1
경희궁,37.570773,126.9685341,http://parks.seoul.go.kr/file/info/view.do?fIdx=1918,종로구,서울특별시 종로구 새문안로 55(신문로2가 2-1)
국립현충원,37.4998621,126.9736849,http://parks.seoul.go.kr/file/info/view.do?fIdx=1919,동작구,서울특별시 동작구 사당2동 산41-2
계남근린공원,37.5138358,126.8479643,http://parks.seoul.go.kr/file/info/view.do?fIdx=1920,양천구,서울특별시 양천구 신정동 산44-2일대
고척근린공원,37.5042944,126.8521495,http://parks.seoul.go.kr/file/info/view.do?fIdx=1921,구로구,서울특별시 구로구 고척로45길 39(고척공원)
파리근린공원,37.5349739,126.8763932,http://parks.seoul.go.kr/file/info/view.do?fIdx=1922,양천구,서울특별시 양천구 목동동로 363 
허준공원,37.5679874,126.8526745,http://parks.seoul.go.kr/file/info/view.do?fIdx=1923,강서구,서울특별시 강서구 허준로5길 42
궁동근린공원,37.5690506,126.9229851,http://parks.seoul.go.kr/file/info/view.do?fIdx=1924,서대문구,서울특별시 서대문구 성산로7길 19-24(궁동공원) 
궁산근린공원,37.5735645,126.838952,http://parks.seoul.go.kr/file/info/view.do?fIdx=1925,강서구,서울특별시 강서구 가양동 산4-7
까치산근린공원,37.4845836,126.9640735,http://parks.seoul.go.kr/file/info/view.do?fIdx=1926,동작구,서울특별시 동작구 사당동 산32
꿩고개근린공원,37.5801585,126.8157075,http://parks.seoul.go.kr/file/info/view.do?fIdx=1927,강서구,서울특별시 강서구 방화동 산110
노량진공원,37.510234,126.928607,http://parks.seoul.go.kr/file/info/view.do?fIdx=1928,동작구,서울특별시 동작구 여의대방로 15-45(여의대방로36길 71)
답십리근린공원,37.5750896,127.0626512,http://parks.seoul.go.kr/file/info/view.do?fIdx=1929,동대문구,서울특별시 동대문구 답십리로 209(답십리공원) 
대모산도시자연공원,37.4796489,127.0809639,http://parks.seoul.go.kr/file/info/view.do?fIdx=1930,강남구,서울특별시 강남구 광평로10길 30-71(대모산공원) 
탑골근린공원,37.5710052,126.9882853,http://parks.seoul.go.kr/file/info/view.do?fIdx=1931,종로구,서울특별시 종로구 종로 99
갈산근린공원,37.5082119,126.8689146,http://parks.seoul.go.kr/file/info/view.do?fIdx=1932,양천구,서울특별시 양천구 신정동 162-56
천마근린공원,37.5005173,127.1586644,http://parks.seoul.go.kr/file/info/view.do?fIdx=1936,송파구,서울특별시 송파구 마천동 산 1-1
도곡근린공원,37.4903127,127.0450338,http://parks.seoul.go.kr/file/info/view.do?fIdx=1937,강남구,서울특별시 강남구 도곡동 산31-1
도산근린공원,37.5246752,127.0350296,http://parks.seoul.go.kr/file/info/view.do?fIdx=1938,강남구,서울특별시 강남구 도산대로45길 20(도산공원)
청량공원,37.6020055,127.0511145,http://parks.seoul.go.kr/file/info/view.do?fIdx=1939,성북구,서울특별시 성북구 화랑로18가길 50
초안산근린공원,37.648316,127.0455446,http://parks.seoul.go.kr/file/info/view.do?fIdx=1940,도봉구,서울특별시 도봉구 창동 산157
동명근린공원,37.5598341,127.1676703,http://parks.seoul.go.kr/file/info/view.do?fIdx=1911,강동구,서울특별시 강동구 고덕2동 229
마로니에공원,37.5802295,127.0027886,http://parks.seoul.go.kr/file/info/view.do?fIdx=1941,종로구,서울특별시 종로구 대학로8길 1
