주차장명,위도,경도,주소,전화번호,유무료구분,기본 주차 요금,추가 단위 요금,기본 주차 시간(분 단위),추가 단위 시간(분 단위),일 최대 요금,버스 기본 주차 요금,버스 추가 단위 요금,주소_정제
영등포여고 공영(구),37.51520496,126.91511598,영등포구 신길동 184-3,02-2677-1401,Y,50.0,50.0,5.0,5.0,0.0,0.0,0.0,영등포구 신길동 184-3
휘경마을 공영주차장(구),37.5880691,127.05809327,동대문구 휘경동 308-32,02-2247-9664~6,Y,1000.0,0.0,60.0,0.0,10000.0,0.0,0.0,동대문구 휘경동 308-32
압구정 428 공영주차장(구),37.52701729,127.02647115,강남구 압구정동 428-0,02-2176-0971,Y,400.0,400.0,5.0,5.0,,0.0,0.0,강남구 압구정동 428-0
포이초교 공영주차장(구),37.47564571,127.05236496,강남구 개포동 1273-0,02-2176-0925,Y,200.0,200.0,5.0,5.0,,0.0,0.0,강남구 개포동 1273-0
구로디지털단지역 공영주차장(시),37.48543179,126.90124331,구로구 구로동 810-3,02-2290-6034,Y,260.0,260.0,5.0,5.0,18700.0,0.0,0.0,구로구 구로동 810-3
역삼1문화센터 공영주차장(구),37.49534845,127.03323757,강남구 역삼동 829-20,02-2176-0922,Y,400.0,400.0,5.0,5.0,,0.0,0.0,강남구 역삼동 829-20
언북초교 공영주차장(구),37.51999434,127.04565885,강남구 청담동 27-0,02-2176-0908,Y,300.0,300.0,5.0,5.0,,0.0,0.0,강남구 청담동 27-0
언주초 공영주차장(구),37.48664435,127.03705039,강남구 도곡동 922-0,02-2176-0929,Y,200.0,200.0,5.0,5.0,,0.0,0.0,강남구 도곡동 922-0
연광초교지하공동주차장(구),37.62387156,126.92422148,은평구 불광동 400-6,,Y,100.0,100.0,5.0,5.0,0.0,0.0,0.0,은평구 불광동 400-6
구파발역 공영주차장(시),37.63800702,126.91932176,은평구 진관동 66-30,02-2290-6088,Y,170.0,170.0,5.0,5.0,12200.0,0.0,0.0,은평구 진관동 66-30
한누리(구),37.47743578,126.97707837,동작구 사당동 1046-1,,Y,150.0,150.0,5.0,5.0,35000.0,0.0,0.0,동작구 사당동 1046-1
봉천복개3 공영주차장(시),37.48719836,126.93242431,관악구 봉천동 1467-3,,Y,220.0,220.0,5.0,5.0,,0.0,0.0,관악구 봉천동 1467-3
독산동 금천교 공영주차장(시),37.46658699,126.88993456,금천구 독산동 1081-4,,Y,400.0,400.0,5.0,5.0,0.0,0.0,0.0,금천구 독산동 1081-4
여의도공원앞1 노상주차장(구),37.52517917,126.91940173,영등포구 여의도동 2-11,02-2650-1436,Y,500.0,1000.0,5.0,10.0,20000.0,0.0,0.0,영등포구 여의도동 2-11
청계2(북2) 공영주차장(시),37.56896044,126.997456,종로구 관수동 91-4,,Y,750.0,750.0,5.0,5.0,0.0,0.0,0.0,종로구 관수동 91-4
청계3(북1) 공영주차장(시),37.56960989,127.00079461,종로구 예지동 140-1,,Y,750.0,750.0,5.0,5.0,0.0,0.0,0.0,종로구 예지동 140-1
가마산고가밑 공영주차장(시),37.4928513,126.88246397,구로구 구로동 414-13,,Y,120.0,120.0,5.0,5.0,0.0,0.0,0.0,구로구 구로동 414-13
청계3(남) 공영주차장(시),37.56907066,126.99979552,중구 주교동 51-3,,Y,750.0,750.0,5.0,5.0,0.0,0.0,0.0,중구 주교동 51-3
