주소,공원_요소명,공원_거리 (m),기관명_요소명,기관명_거리 (m),역명_요소명,역명_거리 (m),정류장명_요소명,정류장명_거리 (m),주차장_요소명,주차장_거리 (m),초등학교명,초등학교 거리,중학교명,중학교 거리,고등학교명,고등학교 거리
서울특별시 강남구 강남대로120길 52,도산근린공원,2005,새동남한의원,51,신논현,402,삼정호텔,355,역삼문화공원 공영주차장(구),605,서울논현초등학교,139,서일중학교,1083,반포고등학교,1113
서울특별시 강남구 강남대로124길 70-1,도산근린공원,1642,첨성대한의원,84,학동,505,학동역6번출구,351,강남대로150길(구),807,서울논현초등학교,326,언북중학교,1043,반포고등학교,1354
서울특별시 강남구 강남대로162길 27-11,도산근린공원,1368,하루에치과의원,106,신사,500,신사중학교,239,강남대로150길(구),568,서울신구초등학교,426,신사중학교,426,현대고등학교,539
서울특별시 강남구 개포로 264,도곡근린공원,1335,행복한이야기한의원,145,매봉,944,구룡초교교차로(경유),214,포이초교 공영주차장(구),457,서울구룡초등학교,166,대치중학교,704,국립국악고등학교,397
서울특별시 강남구 개포로109길 5,대모산도시자연공원,1517,할렐루야치과의원,1,대청,457,디에이치자이개포아파트,103,영동6교밑 공영주차장(시),373,서울일원초등학교,322,개원중학교,291,중동고등학교,578
서울특별시 강남구 개포로110길 38,대모산도시자연공원,1216,강남아산재활의학과의원,188,대청,380,영희초등학교,228,영희초교 공영주차장(구),325,서울일원초등학교,172,중동중학교,208,중동고등학교,444
서울특별시 강남구 개포로110길 50,대모산도시자연공원,1106,얼바인치과의원,170,대청,452,래미안개포루체하임아파트,161,영희초교 공영주차장(구),303,서울일원초등학교,289,중동중학교,145,중산고등학교,451
서울특별시 강남구 개포로15길 20,도곡근린공원,1179,이미원산부인과의원,129,매봉,835,삼호물산,270,양재주차빌딩(구),370,서울구룡초등학교,593,대치중학교,562,국립국악고등학교,667
서울특별시 강남구 개포로17길 9-10,도곡근린공원,1230,혜민한의원,82,매봉,880,삼호물산,223,양재주차빌딩(구),386,서울구룡초등학교,580,대치중학교,604,국립국악고등학교,613
서울특별시 강남구 개포로17길 9-12,도곡근린공원,1233,이미원산부인과의원,81,매봉,886,삼호물산,218,양재주차빌딩(구),371,서울구룡초등학교,595,대치중학교,611,국립국악고등학교,624
서울특별시 강남구 개포로24길 13,도곡근린공원,1388,이치과의원,104,매봉,1007,삼호물산,324,포이초교 공영주차장(구),427,서울포이초등학교,418,대치중학교,727,국립국악고등학교,325
서울특별시 강남구 개포로26길 23,구룡산도시자연공원,1432,서울라이프의원,171,매봉,1071,국악고교사거리,384,포이초교 공영주차장(구),330,서울포이초등학교,319,언남중학교,765,국립국악고등학교,229
서울특별시 강남구 광평로51길 49,광평근린공원,809,수서가정의학과의원,0,수서,533,수서출입(경유),60,수서역북 공영주차장(시),459,서울수서초등학교,194,수서중학교,253,서울세종고등학교,331
서울특별시 강남구 광평로56길 11,광평근린공원,1201,수서제일의원,102,수서,396,수서역.로즈데일빌딩,266,수서역북 공영주차장(시),516,서울가원초등학교,495,수서중학교,480,서울세종고등학교,387
서울특별시 강남구 광평로60길 32,광평근린공원,1335,수서제일의원,239,수서,528,고속철도수서역,315,수서역북 공영주차장(시),659,서울가원초등학교,462,수서중학교,666,서울세종고등학교,573
서울특별시 강남구 남부순환로381길 55,도곡근린공원,377,사암당한의원,32,매봉,211,매봉역양재최의원,83,언주초 공영주차장(구),661,서울언주초등학교,686,대치중학교,345,은광여자고등학교,836
서울특별시 강남구 논현로113길 38-1,도산근린공원,1927,김정수여러분병원,222,언주,332,삼정호텔,186,역삼문화공원 공영주차장(구),572,서울논현초등학교,355,서일중학교,1197,반포고등학교,1330
서울특별시 강남구 논현로117길 12-4,도산근린공원,1674,비에비스나무병원,92,언주,362,삼정호텔,402,역삼문화공원 공영주차장(구),816,서울논현초등학교,485,언북중학교,1071,반포고등학교,1538
서울특별시 강남구 논현로117길 12-6,도산근린공원,1660,비에비스나무병원,104,언주,378,삼정호텔,417,역삼문화공원 공영주차장(구),831,서울논현초등학교,485,언북중학교,1057,반포고등학교,1541
서울특별시 강남구 논현로121길 35,도산근린공원,1724,비에비스나무병원,217,언주,441,삼정호텔,395,역삼문화공원 공영주차장(구),787,서울논현초등학교,355,언북중학교,1117,반포고등학교,1416
서울특별시 강남구 논현로123길 13-8,도산근린공원,1545,봉봉성형외과의원,154,학동,352,학동역6번출구,295,역삼문화공원 공영주차장(구),960,서울논현초등학교,491,언북중학교,938,반포고등학교,1557
서울특별시 강남구 논현로12길 23-5,구룡산도시자연공원,1304,서울라이프의원,91,매봉,1316,국악고교사거리,144,포이초교 공영주차장(구),276,서울포이초등학교,292,언남중학교,553,국립국악고등학교,215
서울특별시 강남구 논현로12길 23-6,구룡산도시자연공원,1298,서울라이프의원,73,매봉,1304,국악고교사거리,167,포이초교 공영주차장(구),257,서울포이초등학교,273,언남중학교,576,국립국악고등학교,193
서울특별시 강남구 논현로12길 3-8,매헌시민의숲,1246,이화의원,99,매봉,1390,국악고교사거리,41,포이초교 공영주차장(구),360,서울포이초등학교,382,언남중학교,448,국립국악고등학교,316
서울특별시 강남구 논현로18길 14-4,매헌시민의숲,1219,유앤이비인후과의원,85,매봉,1057,삼호물산,98,양재주차빌딩(구),445,서울포이초등학교,584,언남중학교,606,국립국악고등학교,486
서울특별시 강남구 논현로18길 19,매헌시민의숲,1266,연세바른치과의원,87,매봉,1010,삼호물산,142,양재주차빌딩(구),461,서울포이초등학교,577,언남중학교,657,국립국악고등학교,479
서울특별시 강남구 논현로20길 20,매헌시민의숲,1275,박현태내과의원,81,매봉,991,삼호물산,152,양재주차빌딩(구),455,서울구룡초등학교,571,언남중학교,675,국립국악고등학교,490
서울특별시 강남구 논현로4길 27,구룡산도시자연공원,972,큰사랑요양병원,76,매봉,1580,구룡사거리,364,포이초교 공영주차장(구),235,서울포이초등학교,266,언남중학교,709,국립국악고등학교,306
서울특별시 강남구 논현로4길 36,구룡산도시자연공원,926,큰사랑요양병원,79,매봉,1584,구룡사거리,428,포이초교 공영주차장(구),222,서울포이초등학교,249,언남중학교,779,국립국악고등학교,310
서울특별시 강남구 논현로57길 39,도곡근린공원,630,김종삼치과의원,182,양재,717,역삼럭키아파트.역삼월드메르디앙아파트,142,언주초 공영주차장(구),460,서울언주초등학교,499,은성중학교,352,은광여자고등학교,352
서울특별시 강남구 논현로64길 30,도곡근린공원,426,나라한의원,46,매봉,818,도곡1차아이파크.도곡중학교,123,강남한티주차장(구),860,서울역삼초등학교,902,도곡중학교,262,중앙대학교사범대학부속고등학교,842
서울특별시 강남구 논현로6길 26-8,구룡산도시자연공원,1008,큰사랑요양병원,108,매봉,1561,구룡사거리,326,포이초교 공영주차장(구),231,서울포이초등학교,263,언남중학교,675,국립국악고등학교,292
서울특별시 강남구 논현로6길 26-9,구룡산도시자연공원,989,큰사랑요양병원,93,매봉,1564,구룡사거리,351,포이초교 공영주차장(구),223,서울포이초등학교,255,언남중학교,700,국립국악고등학교,291
서울특별시 강남구 논현로71길 3-6,도곡근린공원,713,역삼성모내과의원,49,역삼,706,구역삼세무서교차로(경유),114,역삼1문화센터 공영주차장(구),524,서울역삼초등학교,594,도곡중학교,599,은광여자고등학교,779
서울특별시 강남구 논현로75길 44,도곡근린공원,1126,스타치과의원,135,역삼,438,역삼역.포스코타워역삼,337,역삼1문화센터 공영주차장(구),243,서울역삼초등학교,468,은성중학교,940,은광여자고등학교,940
서울특별시 강남구 논현로79길 31-1,도곡근린공원,1135,스타치과의원,103,역삼,403,역삼역.포스코타워역삼,316,역삼1문화센터 공영주차장(구),277,서울역삼초등학교,504,은성중학교,972,은광여자고등학교,972
