학교명,위도,경도,설립형태,소재지도로명주소
미성중학교,37.47538281,126.9120889,공립,서울특별시 관악구 문성로16길 40
송내중앙중학교,37.88842057,127.0526199,공립,경기도 동두천시 중앙로 78
장충중학교,37.5535149,127.006415,사립,서울특별시 중구 동호로15길 93
대왕중학교,37.48346033,127.0873381,공립,서울특별시 강남구 광평로20길 7
위례중학교,37.477211,127.1483118,공립,경기도 하남시 위례순환로 343
양동중학교,37.54836875,126.8687172,공립,서울특별시 양천구 목동중앙북로 49
대신중학교,37.36353482,127.6081153,사립,경기도 여주시 대신면 여양로 1196
대림중학교,37.49231887,126.9074673,공립,서울특별시 영등포구 시흥대로185길 6
부천동중학교,37.48077502,126.8102137,공립,경기도 부천시 소사구 경인로484번길 36
공도중학교,37.00225731,127.173626,공립,경기도 안성시 공도읍 공도로 115-12
연천중학교,38.10822391,127.0766731,공립,경기도 연천군 연천읍 연천로336번길 13
김포한가람중학교,37.6493725,126.6234637,공립,경기도 김포시 김포한강9로 140
백사중학교,37.32371489,127.4739059,공립,경기도 이천시 백사면 이여로 309
이천양정여자중학교,37.284666,127.436821,사립,경기도 이천시 영창로 119
점동중학교,37.20577103,127.6639193,공립,경기도 여주시 점동면 청안로 152
선유중학교,37.86690717,126.8022181,공립,경기도 파주시 문산읍 독서울1길 37
조종중학교,37.81435909,127.3466138,공립,경기도 가평군 조종면 연등윗길 22
은행중학교,37.45703332,127.1725674,공립,경기도 성남시 중원구 순환로379번길 20
상동중학교,37.49815628,126.7449141,공립,경기도 부천시 원미구 부흥로 19
근명중학교,37.39354124,126.9200136,사립,경기도 안양시 만안구 삼덕로 49
마포중학교,37.55998867,126.8531334,사립,서울특별시 강서구 화곡로 403
창천중학교,37.55491782,126.9392951,공립,서울특별시 마포구 백범로1길 56
시흥가온중학교,37.3734214,126.795427,공립,경기도 시흥시 장현순환로 100
해솔중학교,37.72746421,126.7458749,공립,경기도 파주시 해솔로 60
동대문중학교,37.57452207,127.0519943,공립,서울특별시 동대문구 사가정로 59
소명여자중학교,37.48782298,126.7913100326,사립,경기도 부천시 원미구 부일로 571번길 84
용마중학교,37.5745074,127.0862687,공립,서울특별시 중랑구 면목로28길 18
김포신곡중학교,37.59936807,126.7649552,공립,경기도 김포시 고촌읍 수기로 54-20
계남중학교,37.49738932,126.7735021,공립,경기도 부천시 원미구 조마루로 274
중앙중학교,37.32246042,126.8402219,공립,경기도 안산시 단원구 안산천서로 65
성사중학교,37.6637849,126.8429581,공립,경기도 고양시 덕양구 호국로 887
한백중학교,37.20656172,127.1141301,공립,경기도 화성시 동탄순환대로26길 26
신양중학교,37.53365227,127.063431,공립,서울특별시 광진구 자양강변길 73
한산중학교,37.52890274,127.1403034,공립,서울특별시 강동구 풍성로 251
여강중학교,37.32944528,127.6834973,사립,경기도 여주시 북내면 여강로 337-8
재현중학교,37.661264,127.0807998,사립,서울특별시 노원구 덕릉로82길 64
신길중학교,37.502019,126.9154741,공립,서울특별시 영등포구 신길로28길 43
이천송정중학교,37.29352876,127.4331835,공립,경기도 이천시 영창로45번길 139
덕은한강중학교,37.582117,126.868609,공립,경기도 고양시 덕양구 대덕산로 111
빛가온중학교,37.41214809,126.8837092,공립,경기도 광명시 오리로84번길 16
동부중학교,37.53549666,127.202479,공립,경기도 하남시 신평로 15
동신중학교,37.53676952,127.1343666,사립,서울특별시 강동구 진황도로 72
