학교명,위도,경도,설립형태,소재지도로명주소
청목초등학교,37.195771,127.1174309,공립,경기도 화성시 동탄순환대로21길 10
화성청계초등학교,37.199192,127.1021055,공립,경기도 화성시 동탄대로시범길 39
영훈초등학교,37.61468187,127.0280933,사립,서울특별시 강북구 도봉로13가길 19
동안초등학교,37.389519,126.9649077,공립,경기도 안양시 동안구 관평로138번길 36
서울휘봉초등학교,37.58567641,127.0700416,공립,서울특별시 동대문구 장안벚꽃로 309
의왕부곡초등학교,37.31630748,126.9494753,공립,경기도 의왕시 철도박물관로 143
판교대장초등학교,37.368259,127.0697175,공립,경기도 성남시 분당구 판교대장로5길 71
백성초등학교,37.00547351,127.251975,공립,경기도 안성시 아양3로 41
서울신봉초등학교,37.48557635,126.9493909,공립,서울특별시 관악구 양녕로6나길 1
마송중앙초등학교,37.68935513,126.5936743,공립,경기도 김포시 통진읍 마송1로 140
하랑초등학교,37.65003598,127.2552349,공립,경기도 남양주시 백봉로 92
남양주월산초등학교,37.65400023,127.340419,공립,경기도 남양주시 화도읍 경춘로2290번길 50
서울중동초등학교,37.56641061,126.9117752,공립,서울특별시 마포구 월드컵북로 152
연하초등학교,37.80326029,127.342505,공립,경기도 가평군 상면 비룡로 2199-19
안산창촌초등학교,37.30585501,126.9046926,공립,경기도 안산시 상록구 건건5길 10
서울휘경초등학교,37.585736,127.0582142,공립,서울특별시 동대문구 망우로6길 48
이포초등학교하호분교장,37.40585877,127.5012612,공립,경기도 여주시 금사면 금품1로 695
서울망원초등학교,37.56088948,126.9007631,공립,서울특별시 마포구 방울내로5길 28
서울대명초등학교,37.54766615,127.1532701,공립,서울특별시 강동구 상암로 271
한내초등학교,37.29041031,127.4615027,공립,경기도 이천시 갈산로 71
수동초등학교송천분교장,37.69512457,127.334259,공립,경기도 남양주시 수동면 비룡로586번길 98
서울역촌초등학교,37.60158417,126.913928,공립,서울특별시 은평구 은평로3길 25
서울오정초등학교,37.49016566,126.8264392,공립,서울특별시 구로구 경인로2길 10
한별초등학교,37.64648136,127.115975,공립,경기도 남양주시 별내4로 40
서울용답초등학교,37.56072712,127.0537608,공립,서울특별시 성동구 용답25길 1
안양부흥초등학교,37.3947605,126.9465091,공립,경기도 안양시 동안구 달안로 37
서울마포초등학교,37.53860225,126.949816,공립,서울특별시 마포구 도화2길 64
백학초등학교,38.03160096,126.921547,공립,경기도 연천군 백학면 백학로40번길 23
서울전동초등학교,37.57908329,127.0608053,공립,서울특별시 동대문구 전농로16길 61
무봉초등학교,37.202987,127.116806,공립,경기도 화성시 동탄청계로 303-34
서울삼성초등학교,37.46852204,126.9404929,공립,서울특별시 관악구 대학7길 52
서울한강초등학교,37.525227,126.965079,공립,서울특별시 용산구 한강대로14길 9
서울은명초등학교,37.597697,126.9182758,공립,서울특별시 은평구 은평로4길 21-9
고리울초등학교,37.527248,126.827147,공립,경기도 부천시 오정구 고리울로 93
서울상일초등학교,37.54757217,127.1726635,공립,서울특별시 강동구 천호대로 1477
운유초등학교,37.64677596,126.6603858,공립,경기도 김포시 김포한강2로 239
안산초등학교,37.36495969,126.8781241,공립,경기도 안산시 상록구 수암2길 13-7
서울구산초등학교,37.61275096,126.9093765,공립,서울특별시 은평구 서오릉로15길 16
점동초등학교,37.2042827,127.6630001,공립,경기도 여주시 점동면 청안로 106
서울금나래초등학교,37.45823,126.896242,공립,서울특별시 금천구 시흥대로79길 37
함박초등학교,37.23373509,127.1841126,공립,경기도 용인시 처인구 명지로40번길 46
용인대일초등학교,37.32801071,127.1189891,공립,경기도 용인시 수지구 푸른솔로 98
산현초등학교,37.374771,126.8449948,공립,경기도 시흥시 목감남서로 68
효행초등학교,37.21596526,126.968207,공립,경기도 화성시 봉담읍 와우로 16
서울상천초등학교,37.64628513,127.057889,공립,서울특별시 노원구 덕릉로 443
시곡초등학교,37.28905552,126.852452,공립,경기도 안산시 상록구 감골1로 46
성남여수초등학교,37.41945097,127.1330812,공립,경기도 성남시 중원구 여수울로 37
칠봉초등학교,37.83808604,127.070361,공립,경기도 양주시 회정로 156
동탄중앙초등학교,37.19928404,127.1112669,공립,경기도 화성시 동탄대로시범길 117
서울가인초등학교,37.6594678,127.0429509,공립,서울특별시 도봉구 도봉로136다길 4
서울고덕초등학교,37.56129361,127.1660799,공립,서울특별시 강동구 아리수로82길 42
어울초등학교,37.01660034,127.2238791,공립,경기도 안성시 대덕면 신령로 58-33
여흥초등학교,37.29320528,127.6432887,공립,경기도 여주시 여양로 91
평택새빛초등학교,37.0250819,127.105114,공립,경기도 평택시 신촌2로 33
풍무초등학교,37.60508712,126.7266135,공립,경기도 김포시 풍무로96번길 71
용인한얼초등학교,37.270879,127.1222004,공립,경기도 용인시 기흥구 기흥역로58번길 57
신둔초등학교,37.31028246,127.4035285,공립,경기도 이천시 신둔면 경충대로3150번길 82-3
송삼초등학교,37.17646533,127.6339597,공립,경기도 여주시 송삼로 165
양도초등학교,37.6029132,126.7204531,공립,경기도 김포시 풍무로93번길 31
망포초등학교,37.24065005,127.0470226,공립,경기도 수원시 영통구 망포로 126
약대초등학교,37.51360773,126.7727484,공립,경기도 부천시 원미구 수도로66번길 14
부명초등학교,37.49782823,126.7652584,공립,경기도 부천시 원미구 조마루로 200
부천초등학교,37.5141701,126.7648576,공립,경기도 부천시 원미구 평천로 670
조남초등학교,37.37902709,126.8592671,공립,경기도 시흥시 목감둘레로 229-9
화성신동초등학교,37.17490244,127.1310568,공립,경기도 화성시 동탄신동1길 11
서울등촌초등학교,37.54761422,126.8579422,공립,서울특별시 강서구 등촌로39길 71
서울명일초등학교,37.5545536,127.1425912,공립,서울특별시 강동구 고덕로38길 8
서울강솔초등학교,37.56186962,127.1802671,공립,서울특별시 강동구 고덕로97길 80
배곧해솔초등학교,37.36028995,126.7181156,공립,경기도 시흥시 서울대학로 150-17
영북초등학교,38.08986492,127.2758792,공립,경기도 포천시 영북면 영북로148번길 46
성남서초등학교,37.44854378,127.129419,공립,경기도 성남시 수정구 태평로 19
서울창동초등학교,37.65536304,127.0448329,공립,서울특별시 도봉구 해등로16길 81
방교초등학교,37.17326405,127.1015231,공립,경기도 화성시 동탄산척로1길 11
서울금호초등학교,37.55196497,127.0197434,공립,서울특별시 성동구 무수막길 69
서울성자초등학교,37.53149357,127.0834083,공립,서울특별시 광진구 뚝섬로56길 7
의왕초등학교,37.36372368,126.968187,공립,경기도 의왕시 모락로 56
회암초등학교,37.83506,127.086937,공립,경기도 양주시 옥정서로5길 27-3
화성반월초등학교,37.22359053,127.059231,공립,경기도 화성시 효행로 1281-23
은현초등학교,37.8631857,127.0242854,공립,경기도 양주시 은현면 화합로 912
화원초등학교,37.11170675,126.9190641,공립,경기도 화성시 향남읍 하길로 59
계남초등학교,37.49897618,126.7721067,공립,경기도 부천시 원미구 조마루로 255
서울연광초등학교,37.62364876,126.923909,공립,서울특별시 은평구 연서로35길 37
서울명원초등학교,37.55128785,127.1505002,공립,서울특별시 강동구 명일로 364
소일초등학교,37.46920358,126.8025378,공립,경기도 부천시 소사구 소사로102번길 78
서울성일초등학교,37.52970924,127.1284083,공립,서울특별시 강동구 성내로15길 33
수내초등학교,37.36776564,127.1246626,공립,경기도 성남시 분당구 백현로243번길 12
덕은한강초등학교,37.581457,126.86366,공립,경기도 고양시 덕양구 대덕산로 55
창영초등학교,37.47516929,126.8048426,공립,경기도 부천시 소사구 은성로 109-26
추계초등학교,37.56317672,126.9540593,사립,서울특별시 서대문구 북아현로11가길 7
배곧한울초등학교,37.36012444,126.7126506,공립,경기도 시흥시 배곧1로 28-25
서울양목초등학교,37.52391851,126.8614719,공립,서울특별시 양천구 목동로11길 30
대서초등학교,37.11354197,127.575968,공립,경기도 이천시 장호원읍 서동대로8487번길 23-24
북내초등학교운암분교장,37.33414383,127.7104114,공립,경기도 여주시 북내면 당전로 284
일죽초등학교,37.09165258,127.481714,공립,경기도 안성시 일죽면 주래본죽로 72
산운초등학교,37.38975272,127.079026,공립,경기도 성남시 분당구 판교원로117번길 11
서울노량진초등학교,37.51175038,126.9408242,공립,서울특별시 동작구 장승배기로 160
부천대명초등학교,37.52825675,126.7973557,공립,경기도 부천시 오정구 성오로 160
산북초등학교,37.80608755,127.0391829,공립,경기도 양주시 평화로1261번길 96-46
남곡초등학교,37.157782,127.174721,공립,경기도 용인시 처인구 남사읍 한숲로 110
솔안초등학교,37.485701,126.7508603,공립,경기도 부천시 소사구 경인로1185번길 27
한신초등학교,37.65335584,127.0324273,사립,서울특별시 도봉구 노해로49길 69
오산초등학교,37.23879824,127.559073,공립,경기도 여주시 가남읍 양화로 168
서연초등학교,37.15976339,127.1137726,공립,경기도 화성시 동탄대로4가길 25
서울교동초등학교,37.57500567,126.9881513,공립,서울특별시 종로구 삼일대로 446
범박초등학교,37.47027535,126.8113777,공립,경기도 부천시 소사구 범박로 1
생연초등학교,37.90121487,127.0591352,공립,경기도 동두천시 생골로 19
지축초등학교,37.65291086,126.9159516,공립,경기도 고양시 덕양구 오부자로 50
차산초등학교,37.636366,127.3017247,공립,경기도 남양주시 화도읍 수레로 1105-23
이담초등학교,37.8896635,127.0508239,공립,경기도 동두천시 이담로 21
서울등서초등학교,37.55188439,126.8550381,공립,서울특별시 강서구 화곡로58길 86
배영초등학교,37.74819416,127.0465848,공립,경기도 의정부시 가능로 135
서울영등포초등학교,37.512879,126.899634,공립,서울특별시 영등포구 경인로 756
서울청운초등학교,37.58592131,126.969242,공립,서울특별시 종로구 자하문로 105
서현초등학교,37.38257622,127.1285500043,공립,경기도 성남시 분당구 중앙공원로39번길 12
서울등마초등학교,37.54204371,126.8616672,공립,서울특별시 강서구 등촌로35길 12
부천부곡초등학교,37.49408365,126.7731885,공립,경기도 부천시 원미구 부흥로272번길 31
서울아현초등학교,37.5558319,126.9562422,공립,서울특별시 마포구 굴레방로 6
부천삼정초등학교,37.518615,126.770841,공립,경기도 부천시 오정구 중동로 436
단대초등학교,37.453688,127.1577469,공립,경기도 성남시 수정구 단대로 30
진가초등학교,37.17475248,127.479209,공립,경기도 이천시 모가면 진상미로 1321-14
부원초등학교,37.4781892,126.791338,공립,경기도 부천시 소사구 호현로447번길 14
광남초등학교,37.39401569,127.2304609,공립,경기도 광주시 고불로46번길 15
성남송현초등학교,37.405452,127.1163459,공립,경기도 성남시 분당구 동판교로 258
김포신풍초등학교,37.61274107,126.7265736,공립,경기도 김포시 풍무로208번길 14
금파초등학교,37.62424133,126.716781,공립,경기도 김포시 김포대로926번길 74
서울신도초등학교,37.632964,126.9291989,공립,서울특별시 은평구 진관1로 77-23
서울석관초등학교,37.61102206,127.0583553,공립,서울특별시 성북구 돌곶이로22길 21
청성초등학교,37.874679,127.223374,공립,경기도 포천시 군내면 솔밭길 12-1
상도초등학교,37.49448521,126.7592496,공립,경기도 부천시 원미구 장말로 149
광주송정초등학교,37.42282314,127.2550722,공립,경기도 광주시 송정4길 21
배곧초등학교,37.375868,126.7291946,공립,경기도 시흥시 배곧4로 44-5
유양초등학교,37.78606274,127.0272166,공립,경기도 양주시 부흥로 1373-7
상신초등학교,37.09909078,126.898383,공립,경기도 화성시 향남읍 손개길 7
서울어울초등학교,37.60656331,126.935098,공립,서울특별시 은평구 통일로 650
